evalId; chosen;outlineVertices; outerOutlineVertices; numHoles; holeArea;holeVertices; holeType;perimeter; longestEdge; shortestEdge;rangeX; rangeY; convexPercentage; convexHullArea; symmetry; hangingPieces;matchedEdges ;matchedVertices;
1; 0; 16;16;0;0;0;0;183,76450;24;4,97056;39,94113;33,94113;0,61371;938,55844;0;0;6;10;
1; 1; 13;13;0;0;0;0;156,85281;16,97056;4,97056;32,48528;44,48528;0,61371;938,55844;0;0;7;12;
1; 0; 12;12;0;0;0;0;159,76450;16,97056;4,97056;33,94113;39,94113;0,61371;938,55844;0;0;6;29;
1; 0; 16;16;0;0;0;0;173,82338;24;3,51472;34,97056;40,97056;0,61371;938,55844;0;0;6;7;
1; 0; 15;15;0;0;0;0;180,85281;16,97056;8,48528;33,94113;45,94113;0,61371;938,55844;0;0;6;8;
1; 0; 17;17;0;0;0;0;190,79394;16,97056;3,51472;25,45584;46,97056;0,61371;938,55844;0;0;5;6;
2; 0; 16;16;0;0;0;0;204,85281;37,45584;3,51472;37,45584;49,45584;0,50429;1142,20519;0;0;5;6;
2; 0; 16;16;0;0;0;0;197,82338;25,45584;3,51472;36,42641;44,48528;0,50396;1142,95454;0;0;5;6;
2; 0; 15;15;0;0;0;0;190,79394;24;4,97056;46,97056;37,45584;0,50349;1144,01429;0;0;5;27;
2; 0; 15;15;0;0;0;0;197,82338;24;3,51472;38,48528;44,48528;0,50349;1144,01429;0;0;5;7;
2; 0; 20;17;1;36;3;0;199,88225;24;3,51472;49,45584;39,94113;0,50316;1144,76364;0;0;4;6;
2; 1; 13;13;0;0;0;0;173,82338;25,45584;4,97056;45,94113;33,94113;0,50158;1148,38182;0;0;5;9;
3; 0; 16;13;1;36;3;0;134,91169;24;3,51472;37,45584;28,97056;0,70243;820,01429;0;0;7;9;
3; 0; 16;12;1;29,82338;4;0;173,82338;24;8,48528;33,94113;28,97056;0,69351;830,55844;0;0;5;7;
3; 0; 18;14;1;29,82338;4;0;163,88225;16,97056;3,51472;36;40,97056;0,69351;830,55844;0;0;6;6;
3; 0; 18;15;1;36;3;0;161,82338;24;3,51472;30;36;0,69351;830,55844;0;0;5;7;
3; 0; 16;13;1;36;3;0;154,79394;25,45584;4,97056;37,45584;37,45584;0,68988;834,92597;0;0;6;7;
3; 1; 15;11;1;29,82338;4;0;132,85281;24;3,51472;43,45584;34,97056;0,68988;834,92597;0;0;7;8;
4; 0; 14;14;0;0;0;0;190,79394;28,97056;3,51472;28,97056;42,42641;0,56169;1025,47013;0;0;5;9;
4; 0; 18;18;0;0;0;0;214,79394;25,45584;3,51472;42;42;0,56169;1025,47013;0;0;4;6;
4; 1; 16;16;0;0;0;0;173,82338;24;3,51472;38,48528;43,45584;0,56128;1026,21948;0;0;6;7;
4; 0; 15;15;0;0;0;0;173,82338;24;3,51472;30,42641;49,45584;0,56030;1028,02857;0;0;6;8;
4; 0; 17;17;0;0;0;0;207,76450;27,51472;8,48528;32,48528;44,48528;0,56030;1028,02857;0;0;4;6;
4; 0; 16;16;0;0;0;0;180,85281;24;3,51472;28,97056;45,94113;0,56030;1028,02857;0;0;5;11;
5; 0; 14;14;0;0;0;0;156,85281;24;3,51472;26,48528;49,45584;0,69138;833,11688;0;0;7;7;
5; 0; 12;12;0;0;0;0;156,85281;32,48528;3,51472;49,45584;31,45584;0,68988;834,92597;0;0;7;12;
5; 0; 16;13;1;36;3;0;154,79394;25,45584;4,97056;37,45584;37,45584;0,68988;834,92597;0;0;6;7;
5; 1; 15;11;1;29,82338;4;0;132,85281;24;3,51472;43,45584;34,97056;0,68988;834,92597;0;0;7;8;
5; 0; 14;14;0;0;0;0;149,82338;32,48528;3,51472;32,48528;36;0,68839;836,73506;0;0;6;11;
5; 0; 13;13;0;0;0;0;146,91169;24;3,51472;28,97056;37,45584;0,68839;836,73506;0;0;8;11;
6; 0; 14;14;0;0;0;0;142,79394;24;4,97056;34,97056;34,97056;0,68839;836,73506;0;0;8;10;
6; 0; 14;11;1;36;3;0;144,85281;25,45584;4,97056;48;30;0,68839;836,73506;0;0;6;8;
6; 1; 12;12;0;0;0;0;132,85281;16,97056;3,51472;39,94113;31,45584;0,68839;836,73506;0;0;8;8;
6; 0; 9;9;0;0;0;0;139,88225;36;4,97056;39,94113;39,94113;0,68839;836,73506;0;0;8;9;
6; 0; 13;13;0;0;0;0;163,88225;36;3,51472;37,45584;39,94113;0,68839;836,73506;0;0;8;7;
6; 0; 16;13;1;36;3;0;144,85281;24;4,97056;43,45584;28,97056;0,68629;839,29351;0;0;6;11;
7; 0; 16;16;0;0;0;0;173,82338;25,45584;3,51472;34,97056;34,97056;0,68629;839,29351;0;0;5;9;
7; 1; 13;13;0;0;0;0;163,88225;24;3,51472;37,45584;37,45584;0,68629;839,29351;0;0;7;32;
7; 0; 13;13;0;0;0;0;166,79394;28,97056;3,51472;30;46,97056;0,68482;841,10260;0;0;6;8;
7; 0; 15;15;0;0;0;0;142,79394;24;4,97056;39,94113;36,42641;0,68335;842,91169;0;0;8;6;
7; 0; 13;13;0;0;0;0;156,85281;24;3,51472;40,97056;37,45584;0,68128;845,47013;0;0;7;8;
7; 0; 15;15;0;0;0;0;190,79394;28,97056;3,51472;32,48528;40,97056;0,68128;845,47013;0;0;5;7;
8; 0; 15;15;0;0;0;0;149,82338;16,97056;3,51472;36;38,48528;0,68128;845,47013;0;0;8;6;
8; 0; 12;12;0;0;0;0;149,82338;24;4,97056;48,42641;34,97056;0,68128;845,47013;0;0;8;9;
8; 1; 15;15;0;0;0;0;156,85281;24;3,51472;37,45584;37,45584;0,67922;848,02857;0;0;6;10;
8; 0; 14;14;0;0;0;0;170,91169;24;3,51472;48,42641;26,48528;0,67922;848,02857;0;0;7;7;
8; 0; 13;13;0;0;0;0;166,79394;25,45584;3,51472;30;48;0,67837;849,08831;0;0;6;8;
8; 0; 13;13;0;0;0;0;159,76450;40,97056;1,45584;22,97056;43,45584;0,67778;849,83766;0;0;8;7;
9; 0; 14;11;1;36;3;0;134,91169;24;3,51472;33,94113;39,94113;0,74717;770,91169;0;0;6;13;
9; 0; 17;12;1;29,82338;5;0;149,82338;24;3,51472;38,48528;40,97056;0,74717;770,91169;0;0;6;6;
9; 0; 13;10;1;36;3;0;130,79394;36;1,45584;46,97056;24;0,74717;770,91169;0;0;7;12;
9; 0; 12;12;0;0;0;0;125,82338;24;3,51472;28,97056;40,97056;0,74470;773,47013;0;0;9;7;
9; 0; 13;13;0;0;0;0;146,91169;33,94113;3,51472;37,45584;25,45584;0,74470;773,47013;0;0;7;11;
9; 1; 13;10;1;36;3;0;124,97056;24;3,51472;37,45584;37,45584;0,73880;779,64675;0;0;8;8;
1; 0; 17;17;0;0;0;0;173,82338;24;3,51472;37,45584;49,45584;0,61777;932,38182;0;0;6;9;
1; 0; 19;15;1;72;4;0;166,79394;16,97056;8,48528;32,48528;34,97056;0,61777;932,38182;0;0;5;6;
1; 0; 14;14;0;0;0;0;173,82338;16,97056;8,48528;28,97056;49,45584;0,61777;932,38182;0;0;6;8;
1; 0; 15;12;1;36;3;0;154,79394;24;4,97056;43,45584;31,45584;0,61777;932,38182;0;0;6;8;
1; 0; 15;15;0;0;0;0;163,88225;32,48528;3,51472;43,45584;46,97056;0,61777;932,38182;0;0;7;6;
1; 1; 13;13;0;0;0;0;159,76450;24;4,97056;32,48528;40,97056;0,61777;932,38182;0;0;6;15;
2; 1; 14;14;0;0;0;0;204,85281;52,97056;3,51472;45,94113;43,45584;0,50899;1131,66104;0;0;5;8;
2; 0; 16;16;0;0;0;0;207,76450;24;3,51472;39,94113;43,45584;0,50899;1131,66104;0;0;5;10;
2; 0; 18;15;1;36;3;0;185,82338;24;3,51472;42,42641;45,94113;0,50817;1133,47013;0;0;4;10;
2; 0; 14;11;1;36;3;0;185,82338;33,94113;3,51472;42,42641;46,97056;0,50784;1134,21948;0;0;4;9;
2; 0; 16;16;0;0;0;0;187,88225;24;3,51472;45,94113;37,45584;0,50703;1136,02857;0;0;5;10;
2; 0; 16;16;0;0;0;0;204,85281;24;3,51472;45,94113;42,42641;0,50703;1136,02857;0;0;6;7;
3; 0; 17;14;1;36;3;0;168,85281;24;3,51472;34,97056;33,94113;0,71158;809,47013;0;0;5;7;
3; 0; 15;12;1;36;3;0;130,79394;24;1,45584;25,45584;43,45584;0,70933;812,02857;0;0;6;8;
3; 0; 14;11;1;36;3;0;144,85281;28,97056;4,97056;26,48528;40,97056;0,70619;815,64675;0;0;6;7;
3; 0; 12;9;1;36;3;0;127,88225;24;8,48528;36;42;0,69565;828;0;0;7;11;
3; 1; 16;13;1;36;3;0;154,79394;16,97056;1,45584;32,48528;32,48528;0,69138;833,11688;0;0;6;14;
3; 0; 16;13;1;36;3;0;154,79394;20,48528;1,45584;34,97056;39,94113;0,68988;834,92597;0;0;5;8;
4; 0; 16;16;0;0;0;0;214,79394;24;3,51472;49,45584;37,45584;0,56510;1019,29351;0;0;4;7;
4; 0; 13;13;0;0;0;0;197,82338;25,45584;8,48528;44,48528;44,48528;0,56510;1019,29351;0;0;6;7;
4; 0; 15;15;0;0;0;0;197,82338;32,48528;3,51472;32,48528;44,48528;0,56510;1019,29351;0;0;6;6;
4; 0; 18;18;0;0;0;0;231,76450;33,94113;3,51472;46,97056;42;0,56410;1021,10260;0;0;4;6;
4; 0; 17;17;0;0;0;0;190,79394;20,48528;3,51472;46,97056;34,97056;0,56269;1023,66104;0;0;6;6;
4; 1; 14;14;0;0;0;0;190,79394;24;3,51472;43,45584;38,48528;0,56269;1023,66104;0;0;7;7;
5; 0; 14;9;1;180;5;0;127,88225;25,45584;3,51472;37,45584;33,94113;0,68839;836,73506;0;0;6;10;
5; 0; 15;12;1;36;3;0;158,91169;32,48528;3,51472;45,94113;33,94113;0,68839;836,73506;0;0;6;8;
5; 0; 15;12;1;36;3;0;137,82338;16,97056;3,51472;30;36;0,68839;836,73506;0;0;6;11;
5; 0; 11;11;0;0;0;0;132,85281;20,48528;3,51472;32,48528;38,48528;0,68839;836,73506;0;0;8;8;
5; 1; 14;14;0;0;0;0;149,82338;24;3,51472;37,45584;34,97056;0,68629;839,29351;0;0;8;7;
5; 0; 15;15;0;0;0;0;166,79394;24;3,51472;30;37,45584;0,68629;839,29351;0;0;7;7;
6; 1; 16;16;0;0;0;0;190,79394;24;3,51472;32,48528;45,94113;0,68629;839,29351;0;0;6;7;
6; 0; 17;14;1;36;3;0;144,85281;24;4,97056;31,45584;45,94113;0,68629;839,29351;0;0;6;7;
6; 0; 11;11;0;0;0;0;149,82338;33,94113;1,45584;42,42641;40,97056;0,68629;839,29351;0;0;7;13;
6; 0; 17;13;1;72;4;0;149,82338;25,45584;3,51472;36;34,97056;0,68482;841,10260;0;0;5;10;
6; 0; 13;13;0;0;0;0;156,85281;28,97056;3,51472;26,48528;40,97056;0,68482;841,10260;0;0;8;7;
6; 0; 14;14;0;0;0;0;170,91169;24;3,51472;27,94113;48,42641;0,68482;841,10260;0;0;6;12;
7; 0; 14;14;0;0;0;0;163,88225;24;3,51472;33,94113;42,42641;0,68335;842,91169;0;0;6;11;
7; 0; 12;12;0;0;0;0;159,76450;25,45584;1,45584;28,97056;43,45584;0,68274;843,66104;0;0;7;9;
7; 0; 16;16;0;0;0;0;170,91169;24;3,51472;31,45584;44,48528;0,68274;843,66104;0;0;6;7;
7; 1; 14;14;0;0;0;0;139,88225;16,97056;4,97056;37,45584;31,45584;0,68128;845,47013;0;0;8;7;
7; 0; 14;14;0;0;0;0;180,85281;24;3,51472;32,48528;39,94113;0,68128;845,47013;0;0;6;8;
7; 0; 18;15;1;36;3;0;185,82338;24;3,51472;46,97056;25,45584;0,68128;845,47013;0;0;4;7;
8; 0; 11;11;0;0;0;0;156,85281;25,45584;3,51472;28,97056;33,94113;0,68128;845,47013;0;0;7;12;
8; 0; 17;14;1;36;3;0;144,85281;16,97056;3,51472;36;40,97056;0,68128;845,47013;0;0;6;27;
8; 0; 16;13;1;36;3;0;175,88225;24;3,51472;25,45584;43,45584;0,67634;851,64675;0;0;5;9;
8; 0; 14;11;1;36;3;0;144,85281;16,97056;8,48528;39,94113;31,45584;0,67634;851,64675;0;0;6;8;
8; 1; 14;14;0;0;0;0;173,82338;24;8,48528;40,97056;32,48528;0,67634;851,64675;0;0;6;12;
8; 0; 12;9;1;36;3;0;144,85281;28,97056;8,48528;37,45584;40,97056;0,67634;851,64675;0;0;6;13;
9; 0; 11;11;0;0;0;0;146,91169;28,97056;3,51472;44,48528;40,97056;0,74470;773,47013;0;0;7;8;
9; 0; 14;14;0;0;0;0;163,88225;24;3,51472;33,94113;39,94113;0,74296;775,27922;0;0;7;8;
9; 0; 11;11;0;0;0;0;139,88225;24;4,97056;34,97056;34,97056;0,74296;775,27922;0;0;8;12;
9; 0; 10;10;0;0;0;0;129,94113;24;3,51472;28,97056;32,48528;0,73880;779,64675;0;0;8;10;
9; 0; 14;14;0;0;0;0;166,79394;24;4,97056;24;40,97056;0,73880;779,64675;0;0;6;8;
9; 1; 11;11;0;0;0;0;156,85281;36;8,48528;30;42;0,73880;779,64675;0;0;8;9;
0; 0; 11;11;0;0;0;0;149,82338;32,48528;3,51472;43,45584;32,48528;0,67431;854,20519;0;0;8;8;
0; 1; 13;13;0;0;0;0;156,85281;24;3,51472;43,45584;33,94113;0,67289;856,01429;0;0;6;8;
0; 0; 17;14;1;36;3;0;161,82338;20,48528;3,51472;32,48528;43,45584;0,67289;856,01429;0;0;6;7;
0; 0; 12;12;0;0;0;0;159,76450;32,48528;4,97056;40,97056;32,48528;0,67289;856,01429;0;0;7;11;
0; 0; 15;15;0;0;0;0;156,85281;24;3,51472;36;38,48528;0,67289;856,01429;0;0;6;11;
0; 0; 15;15;0;0;0;0;173,82338;24;4,97056;25,45584;49,45584;0,67289;856,01429;0;0;5;9;
1; 0; 14;14;0;0;0;0;163,88225;32,48528;3,51472;42,42641;39,94113;0,60573;950,91169;0;0;6;8;
1; 0; 17;17;0;0;0;0;207,76450;24;3,51472;48,42641;31,45584;0,60526;951,66104;0;0;5;6;
1; 0; 18;15;1;36;3;0;168,85281;16,97056;7,02944;36;40,97056;0,60526;951,66104;0;0;5;6;
1; 1; 15;15;0;0;0;0;173,82338;24;4,97056;26,48528;46,97056;0,60411;953,47013;0;0;6;10;
1; 0; 16;16;0;0;0;0;187,88225;24;3,51472;33,94113;46,97056;0,60411;953,47013;0;0;5;7;
1; 0; 15;15;0;0;0;0;183,76450;24;4,97056;46,97056;30;0,60411;953,47013;0;0;5;12;
2; 0; 16;16;0;0;0;0;197,82338;25,45584;3,51472;42;49,45584;0,48707;1182,57273;0;0;5;27;
2; 0; 16;16;0;0;0;0;180,85281;24;3,51472;49,45584;40,97056;0,48707;1182,57273;0;0;6;10;
2; 1; 17;17;0;0;0;0;190,79394;20,48528;4,97056;49,45584;37,45584;0,48707;1182,57273;0;0;5;6;
