user; seconds; hints; translations; rotations; outlineVertices; outerOutlineVertices;perimeter; longestEdge; shortestEdge; convexPercentage; convexHullArea;matchedEdges ;matchedVertices
94481372;150;4;86;45;14;14;129,94113;16,97056;3,51472;0,80897;712,01429;8;7
94481372;117;2;88;56;11;11;115,88225;24;3,51472;0,82628;697,1026;9;9
94514415;149;5;104;61;13;13;132,85281;24;1,45584;0,80118;718,94026;9;7
94710931;631;0;303;144;8;8;108,85281;24;8,48528;0,89744;641,82338;9;10
94963296;62;0;13;8;10;10;108,85281;16,97056;1,45584;0,84211;684;9;10
95238675;172;0;89;49;11;11;115,88225;24;3,51472;0,85205;676,01429;9;12
95948938;264;0;123;69;7;7;153,94113;64,97056;3,51472;0,91879;626,91169;8;10
96287941;331;4;144;94;9;9;122,91169;24;3,51472;0,83897;686,55844;8;34
96814686;199;1;40;21;12;12;139,88225;24;3,51472;0,79041;728,73506;8;12
96814686;294;3;194;114;13;13;156,85281;16,97056;3,51472;0,80692;713,82338;7;9
96814686;167;0;73;40;14;11;120,85281;24;1,45584;0,81397;707,64675;8;8
96814686;206;2;92;64;12;9;106,79394;16,97056;1,45584;0,83149;692,73506;7;13
99262429;30;0;54;35;14;14;170,91169;40,97056;3,51472;0,81605;705,83766;7;7
99262429;34;0;40;21;12;9;117,94113;36;8,48528;0,8;720;7;13
99527165;256;4;55;39;14;14;139,88225;25,45584;3,51472;0,83366;690,92597;7;7
99527165;65;0;41;30;13;13;142,79394;25,45584;3,51472;0,83676;688,36753;8;7
99527165;85;0;75;58;12;9;134,91169;52,97056;3,51472;0,85759;671,64675;7;9
99527165;70;0;43;27;13;13;142,79394;25,45584;3,51472;0,79717;722,55844;7;11
100206286;121;0;19;6;13;13;132,85281;16,97056;3,51472;0,83366;690,92597;8;7
102682354;115;0;30;45;11;8;127,88225;36;8,48528;0,84211;684;7;13
102682354;77;0;41;46;14;14;166,79394;36;1,45584;0,83149;692,73506;6;7
102682354;56;0;54;42;13;13;122,91169;24;3,51472;0,82113;701,47013;8;28
102682354;156;1;109;60;14;11;137,82338;25,45584;4,97056;0,79041;728,73506;6;28
102682354;140;0;97;55;14;10;127,88225;25,45584;3,51472;0,79041;728,73506;7;7
102682354;121;3;101;56;9;9;139,88225;48;8,48528;0,84211;684;8;13
104622907;181;0;51;27;12;12;132,85281;25,45584;3,51472;0,87707;656,73506;8;8
106441525;208;0;76;36;15;9;132,85281;40,97056;1,45584;0,83149;692,73506;6;9
106441525;88;0;42;25;13;13;156,85281;33,94113;3,51472;0,80692;713,82338;6;8
106441525;47;0;20;12;12;12;122,91169;24;3,51472;0,82113;701,47013;8;29
107467806;69;0;12;7;13;9;108,85281;24;4,97056;0,83897;686,55844;7;13
114671064;85;0;36;25;11;11;163,88225;40,97056;8,48528;0,82628;697,1026;7;9
114671064;78;0;26;15;10;10;125,82338;28,97056;1,45584;0,85434;674,20519;8;12
114671064;216;0;105;65;11;11;163,88225;40,97056;8,48528;0,82628;697,1026;7;9
114671064;84;0;30;19;12;12;163,88225;54,42641;3,51472;0,81397;707,64675;6;8
114776686;69;0;56;43;9;9;108,85281;24;1,45584;0,83149;692,73506;9;10
118520991;136;0;62;32;11;11;125,82338;24;3,51472;0,82414;698,91169;8;12
118520991;222;0;108;35;12;12;156,85281;24;4,97056;0,81902;703,27922;7;9
118520991;71;0;22;10;11;8;127,88225;42,42641;3,51472;0,83149;692,73506;7;13
118520991;697;0;336;124;9;9;139,88225;36;3,51472;0,80404;716,38182;8;30
120407496;201;0;24;9;9;9;125,82338;28,97056;8,48528;0,81397;707,64675;9;30
120407496;123;1;94;118;14;10;132,85281;42,42641;3,51472;0,84211;684;7;7
120407496;78;0;62;44;12;12;125,82338;25,45584;4,97056;0,84658;680,38182;7;8
120407496;41;0;40;29;12;12;125,82338;25,45584;4,97056;0,84658;680,38182;7;8
120407496;46;0;63;49;13;13;156,85281;24;3,51472;0,81397;707,64675;7;8
120407496;68;0;74;48;12;12;129,94113;25,45584;3,51472;0,87707;656,73506;8;8
120407496;21;0;21;10;13;13;156,85281;24;3,51472;0,81397;707,64675;7;8
120407496;27;0;23;13;13;13;122,91169;16,97056;3,51472;0,80692;713,82338;8;11
120407496;44;0;39;24;11;11;129,94113;36;3,51472;0,80692;713,82338;8;12
120503386;78;0;40;27;11;8;117,94113;24;8,48528;0,84211;684;7;35
120503386;520;6;165;119;13;13;139,88225;24;3,51472;0,82113;701,47013;8;8
120503386;125;2;92;69;12;12;139,88225;28,97056;3,51472;0,81902;703,27922;9;7
120503386;55;0;44;35;10;10;118,79394;24;1,45584;0,83897;686,55844;8;16
120503386;160;2;143;102;9;9;129,94113;25,45584;3,51472;0,86653;664,72078;9;9
