user; seconds; hints; translations; rotations; outlineVertices; outerOutlineVertices; numHoles; holeArea;holeVertices; holeType;perimeter; longestEdge; shortestEdge;rangeX; rangeY; convexPercentage; convexHullArea; symmetry; hangingPieces;matchedEdges ;matchedVertices
94481372;150;4;86;45;14;14;0;0;0;0;129,94113;16,97056;3,51472;0;0;0,80897;712,01429;0;0;8;7
94481372;117;2;88;56;11;11;0;0;0;0;115,88225;24;3,51472;0;0;0,82628;697,1026;0;0;9;9
94514415;149;5;104;61;13;13;0;0;0;0;132,85281;24;1,45584;0;0;0,80118;718,94026;0;0;9;7
94710931;631;0;303;144;8;8;0;0;0;0;108,85281;24;8,48528;0;0;0,89744;641,82338;0;0;9;10
94963296;62;0;13;8;10;10;0;0;0;0;108,85281;16,97056;1,45584;0;0;0,84211;684;0;0;9;10
95238675;172;0;89;49;11;11;0;0;0;0;115,88225;24;3,51472;0;0;0,85205;676,01429;0;0;9;12
95948938;264;0;123;69;7;7;0;0;0;0;153,94113;64,97056;3,51472;0;0;0,91879;626,91169;0;0;8;10
96287941;331;4;144;94;9;9;0;0;0;0;122,91169;24;3,51472;0;0;0,83897;686,55844;0;0;8;34
96814686;199;1;40;21;12;12;0;0;0;0;139,88225;24;3,51472;0;0;0,79041;728,73506;0;0;8;12
96814686;294;3;194;114;13;13;0;0;0;0;156,85281;16,97056;3,51472;0;0;0,80692;713,82338;0;0;7;9
96814686;167;0;73;40;14;11;1;36;3;0;120,85281;24;1,45584;0;0;0,81397;707,64675;0;0;8;8
96814686;206;2;92;64;12;9;1;36;3;0;106,79394;16,97056;1,45584;0;0;0,83149;692,73506;0;0;7;13
99262429;30;0;54;35;14;14;0;0;0;0;170,91169;40,97056;3,51472;0;0;0,81605;705,83766;0;0;7;7
99262429;34;0;40;21;12;9;1;36;3;0;117,94113;36;8,48528;0;0;0,8;720;0;0;7;13
99527165;256;4;55;39;14;14;0;0;0;0;139,88225;25,45584;3,51472;0;0;0,83366;690,92597;0;0;7;7
99527165;65;0;41;30;13;13;0;0;0;0;142,79394;25,45584;3,51472;0;0;0,83676;688,36753;0;0;8;7
99527165;85;0;75;58;12;9;1;36;3;0;134,91169;52,97056;3,51472;0;0;0,85759;671,64675;0;0;7;9
99527165;70;0;43;27;13;13;0;0;0;0;142,79394;25,45584;3,51472;0;0;0,79717;722,55844;0;0;7;11
100206286;121;0;19;6;13;13;0;0;0;0;132,85281;16,97056;3,51472;0;0;0,83366;690,92597;0;0;8;7
102682354;115;0;30;45;11;8;1;36;3;0;127,88225;36;8,48528;0;0;0,84211;684;0;0;7;13
102682354;77;0;41;46;14;14;0;0;0;0;166,79394;36;1,45584;0;0;0,83149;692,73506;0;0;6;7
